Pop_UID,Species_code,Pop_ID,Pop_Name,CU_ID,Lat,Lon,FAZ,JAZ,MAZ,Species,TimeSeriesData_Species,TimeSeriesData_Pop_Name,WSP_ts,Data_msg_code
CK-10.46901,CK,46901,HORSEFLY RIVER,CK-10,52.46540443,-121.3887587,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,HORSEFLY RIVER,yes,WSP_ts
CK-10.47175,CK,47175,STEIN RIVER,CK-10,50.28873332,-121.6300932,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-10.47229,CK,47229,BRIDGE RIVER,CK-10,50.75029671,-121.9322715,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,BRIDGE RIVER,yes,WSP_ts
CK-10.47234,CK,47234,YALAKOM RIVER,CK-10,50.86386746,-122.1719442,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-10.47238,CK,47238,CHURN CREEK,CK-10,51.51922229,-122.2842198,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-10.47257,CK,47257,NARCOSLI CREEK,CK-10,52.82161216,-122.4614972,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,NARCOSLI CREEK,no,Raw_ts
CK-10.47267,CK,47267,BAKER CREEK/MFR,CK-10,52.97282199,-122.5034691,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,BAKER CREEK,no,Raw_ts
CK-10.47277,CK,47277,SWIFT RIVER/MFR,CK-10,53.11916698,-122.6106377,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-10.47278,CK,47278,SWIFT RIVER/MFR,CK-10,53.11916698,-122.6106377,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-10.47287,CK,47287,AHBAU CREEK,CK-10,53.17452978,-122.498461,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,AHBAU CREEK,yes,WSP_ts
CK-10.47297,CK,47297,LIGHTNING CREEK,CK-10,53.01676744,-122.1120626,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,LIGHTNING CREEK,yes,WSP_ts
CK-10.47307,CK,47307,NAVER CREEK,CK-10,53.43189236,-122.6573591,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,NAVER CREEK,no,Raw_ts
CK-10.69059,CK,69059,BIG CREEK/MFR,CK-10,51.85148257,-122.6904237,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-10.69060,CK,69060,LITTLE RIVER/MFR,CK-10,52.81847873,-121.2811569,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-10.69061,CK,69061,FYFE CREEK,CK-10,53.757227,-122.8292523,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-10.69062,CK,69062,NADINA RIVER,CK-10,53.97855095,-126.5030467,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-10.69063,CK,69063,BEECE CREEK,CK-10,51.36496872,-123.6202173,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-10.69064,CK,69064,TCHAIKAZAN RIVER,CK-10,51.20677955,-123.5957961,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-10.69065,CK,69065,LORD RIVER,CK-10,51.15501196,-123.5548363,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-10.69066,CK,69066,TASEKO RIVER-UPPER,CK-10,51.15793684,-123.5380964,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-10.69067,CK,69067,YOHETTA CREEK,CK-10,51.22050453,-123.6383393,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-10.69068,CK,69068,EUCHINIKO RIVER,CK-10,53.24677214,-123.5027628,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-10.69069,CK,69069,COGLISTIKO RIVER,CK-10,53.00701156,-123.8067125,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-10.69077,CK,69077,SNAKING RIVER,CK-10,53.05444127,-123.5725521,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-10.69088,CK,69088,STONE CREEK,CK-10,53.63612953,-122.6675685,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-10.69089,CK,69089,VICTORIA CREEK,CK-10,52.93494955,-122.0522058,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-10.69095,CK,69095,MINTON CREEK,CK-10,51.9424695,-123.1502649,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-10.69096,CK,69096,SOWCHEA CREEK,CK-10,54.42671741,-124.4045295,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-10.69108,CK,69108,CLISBAKO RIVER,CK-10,52.81142886,-123.543029,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-10.69109,CK,69109,SAKENICHE RIVER,CK-10,55.15260373,-125.7709187,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-11.1416,CK,1416,KUZKWA RIVER,CK-11,54.78768682,-124.8772439,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-11.1756,CK,1756,MITCHELL RIVER,CK-11,52.77875315,-120.8037479,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,MITCHELL RIVER,no,Raw_ts
CK-11.2178,CK,2178,SETON RIVER,CK-11,50.68129511,-121.9270209,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,SETON RIVER,no,Raw_ts
CK-11.2507,CK,2507,TASEKO RIVER,CK-11,52.00672961,-123.6769982,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,TASEKO RIVER,no,Raw_ts
CK-11.44564,CK,44564,MIDDLE RIVER,CK-11,54.86607079,-125.1183878,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-11.45535,CK,45535,STUART RIVER,CK-11,53.98885075,-123.5409355,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,STUART RIVER,no,Raw_ts
CK-11.45547,CK,45547,PINCHI CREEK,CK-11,54.56409055,-124.4892837,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,PINCHI CREEK,yes,WSP_ts
CK-11.45550,CK,45550,TACHIE RIVER,CK-11,54.65782103,-124.7720688,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-11.45555,CK,45555,KUZKWA RIVER,CK-11,54.78768682,-124.8772439,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,KUZKWA RIVER,yes,WSP_ts
CK-11.45567,CK,45567,KAZCHEK CREEK,CK-11,54.88523164,-125.1694657,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,KAZCHEK CREEK,no,Raw_ts
CK-11.46001,CK,46001,NECHAKO RIVER,CK-11,53.91835665,-122.7152103,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,NECHAKO RIVER,yes,WSP_ts
CK-11.46021,CK,46021,STELLAKO RIVER,CK-11,54.05564097,-124.8844677,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,STELLAKO RIVER,yes,WSP_ts
CK-11.46024,CK,46024,ORMOND CREEK,CK-11,54.08838763,-124.7490804,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-11.46851,CK,46851,CHILKO RIVER,CK-11,52.09590138,-123.4604675,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,CHILKO RIVER,yes,WSP_ts
CK-11.46871,CK,46871,ELKIN CREEK,CK-11,51.68588715,-123.7224791,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,ELKIN CREEK,no,Raw_ts
CK-11.46881,CK,46881,QUESNEL RIVER,CK-11,52.97121342,-122.4960236,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,QUESNEL RIVER,yes,WSP_ts
CK-11.46891,CK,46891,CARIBOO RIVER,CK-11,52.66265253,-121.6759592,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,CARIBOO RIVER,yes,WSP_ts
CK-11.47199,CK,47199,SETON AND CAYOOSH CREEKS,CK-11,50.66816976,-121.9730513,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,SETON AND CAYOOSH CREEKS,no,Raw_ts
CK-11.69100,CK,69100,BAPTISTE CREEK,CK-11,54.89281444,-125.1827216,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-11.69101,CK,69101,DOG CREEK,CK-11,51.58246006,-122.2933706,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-11.69102,CK,69102,LEO CREEK,CK-11,55.08709828,-125.5833288,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-11.69103,CK,69103,NANCUT CREEK,CK-11,54.59869158,-125.0755096,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-11.69104,CK,69104,NATAZUTLO CREEK,CK-11,55.00398754,-125.3859491,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-11.69105,CK,69105,NECOSLIE RIVER,CK-11,54.42740323,-124.2644545,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-11.69106,CK,69106,PITKA CREEK,CK-11,54.42547116,-124.3251736,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-12.1207,CK,1207,HOLLIDAY CREEK,CK-12,53.16389242,-119.9194851,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,HOLLIDAY CREEK,yes,WSP_ts
CK-12.125,CK,125,DRISCOLL CREEK,CK-12,53.86613167,-121.4299399,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,DRISCOLL CREEK,no,Raw_ts
CK-12.1269,CK,1269,HUMBUG CREEK,CK-12,53.75793817,-120.9048655,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,HUMBUG CREEK,no,Raw_ts
CK-12.2076,CK,2076,ROBSON RIVER,CK-12,53.02748073,-119.2572821,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,ROBSON RIVER,no,Raw_ts
CK-12.2318,CK,2318,SNOWSHOE CREEK,CK-12,53.62213218,-120.7612151,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-12.2468,CK,2468,SUS CREEK,CK-12,53.13808034,-121.1661867,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,SUS CREEK,no,Raw_ts
CK-12.2762,CK,2762,WEST TWIN CREEK,CK-12,53.44543346,-120.4273509,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,WEST TWIN CREEK,no,Raw_ts
CK-12.3075,CK,3075,ICE CREEK,CK-12,54.31480511,-121.1537198,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,ICE CREEK,yes,WSP_ts
CK-12.44497,CK,44497,TWIN CREEKS (COMBINED),CK-12,53.45204452,-120.4202321,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,TWIN CREEKS (COMBINED),yes,WSP_ts
CK-12.44549,CK,44549,FRASER RIVER-ABOVE TETE JAUNE,CK-12,52.97134562,-119.4508333,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,FRASER RIVER-ABOVE TETE JAUNE,yes,WSP_ts
CK-12.44961,CK,44961,FORGETMENOT CREEK,CK-12,53.68811588,-120.4350646,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,FORGETMENOT CREEK,yes,WSP_ts
CK-12.45325,CK,45325,SMALL CREEK,CK-12,53.04725962,-119.5997768,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,SMALL CREEK,yes,WSP_ts
CK-12.46931,CK,46931,HOLMES RIVER,CK-12,53.25320972,-120.0700578,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,HOLMES RIVER,yes,WSP_ts
CK-12.46941,CK,46941,NEVIN CREEK/UFR,CK-12,53.19482154,-119.9783867,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,NEVIN CREEK,yes,WSP_ts
CK-12.46951,CK,46951,HORSEY CREEK,CK-12,53.09703271,-119.7275235,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,HORSEY CREEK,yes,WSP_ts
CK-12.46961,CK,46961,SWIFT CREEK,CK-12,52.84865884,-119.2987913,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,SWIFT CREEK,yes,WSP_ts
CK-12.46962,CK,46962,SWIFT CREEK,CK-12,52.84865884,-119.2987913,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-12.47317,CK,47317,SALMON RIVER/MFR,CK-12,54.0676828,-122.5586687,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,SALMON RIVER,yes,WSP_ts
CK-12.47327,CK,47327,WILLOW RIVER,CK-12,54.08634415,-122.5069155,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,WILLOW RIVER,yes,WSP_ts
CK-12.47337,CK,47337,WANSA CREEK,CK-12,53.94910689,-122.2832858,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,WANSA CREEK,yes,WSP_ts
CK-12.47347,CK,47347,MCGREGOR RIVER,CK-12,54.18098749,-122.0324831,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,MCGREGOR RIVER,no,Raw_ts
CK-12.47357,CK,47357,SEEBACH CREEK,CK-12,54.23911106,-121.8580454,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,SEEBACH CREEK,yes,WSP_ts
CK-12.47367,CK,47367,OTTER CREEK/UFR,CK-12,54.27833971,-121.519528,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,OTTER CREEK,no,Raw_ts
CK-12.47377,CK,47377,HERRICK CREEK,CK-12,54.26984653,-121.4801543,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,HERRICK CREEK,no,Raw_ts
CK-12.47387,CK,47387,CAPTAIN CREEK,CK-12,54.28237462,-121.4569694,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,CAPTAIN CREEK,yes,WSP_ts
CK-12.47397,CK,47397,BAD RIVER (JAMES CREEK),CK-12,54.29564471,-121.4421157,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,BAD RIVER (JAMES CREEK),yes,WSP_ts
CK-12.47407,CK,47407,FONTONIKO CREEK,CK-12,54.36338919,-121.3453685,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,FONTONIKO CREEK,yes,WSP_ts
CK-12.47417,CK,47417,SPAKWANIKO CREEK,CK-12,54.3246243,-121.190466,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,SPAKWANIKO CREEK,no,Raw_ts
CK-12.47427,CK,47427,BOWRON RIVER,CK-12,54.05689106,-121.8230933,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,BOWRON RIVER,yes,WSP_ts
CK-12.47437,CK,47437,HAGGEN CREEK,CK-12,53.57654718,-121.627161,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,HAGGEN CREEK,yes,WSP_ts
CK-12.47447,CK,47447,INDIANPOINT CREEK,CK-12,53.44521844,-121.5672016,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,INDIANPOINT CREEK,yes,WSP_ts
CK-12.47457,CK,47457,ANTLER CREEK/UFR,CK-12,53.25874914,-121.4120166,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,ANTLER CREEK,yes,WSP_ts
CK-12.47467,CK,47467,KENNETH CREEK,CK-12,53.92113551,-121.6624198,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,KENNETH CREEK,no,Raw_ts
CK-12.47477,CK,47477,SLIM CREEK,CK-12,53.79685895,-121.1939303,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,SLIM CREEK,yes,WSP_ts
CK-12.47487,CK,47487,DOME CREEK,CK-12,53.75402241,-121.0234992,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,DOME CREEK,yes,WSP_ts
CK-12.47497,CK,47497,TORPY RIVER,CK-12,53.73615578,-120.9001382,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,TORPY RIVER,yes,WSP_ts
CK-12.47507,CK,47507,WALKER CREEK/UFR,CK-12,53.79386607,-120.9002287,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,WALKER CREEK,yes,WSP_ts
CK-12.47517,CK,47517,PTARMIGAN CREEK,CK-12,53.7035425,-120.8909911,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,PTARMIGAN CREEK,no,Raw_ts
CK-12.47519,CK,47519,SNOWSHOE CREEK,CK-12,53.62213218,-120.7612151,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,SNOWSHOE CREEK,no,Raw_ts
CK-12.47528,CK,47528,MORKILL RIVER,CK-12,53.61259975,-120.7042376,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,MORKILL RIVER,yes,WSP_ts
CK-12.47538,CK,47538,GOAT RIVER/UFR,CK-12,53.53227334,-120.5602763,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,GOAT RIVER,yes,WSP_ts
CK-12.47548,CK,47548,MCKALE RIVER,CK-12,53.39786756,-120.3429826,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,MCKALE RIVER,yes,WSP_ts
CK-12.69070,CK,69070,RED MOUNTAIN CREEK/UFR,CK-12,53.8350046,-121.2875836,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-12.926,CK,926,EAST TWIN CREEK,CK-12,53.45691339,-120.410057,UFR,UFR+GStr,GStr,Chinook,Ck_SBC,EAST TWIN CREEK,no,Raw_ts
CK-13.275,CK,275,ADAMS RIVER,CK-13,50.89386286,-119.5505675,STh,STh+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-13.46165,CK,46165,THOMPSON RIVER,CK-13,50.23695586,-121.5821611,LTh,LTh+GStr,GStr,Chinook,Ck_SBC,THOMPSON RIVER,yes,WSP_ts
CK-13.46226,CK,46226,SOUTH THOMPSON RIVER,CK-13,50.6808542,-120.33779,STh,STh+GStr,GStr,Chinook,Ck_SBC,SOUTH THOMPSON RIVER,yes,WSP_ts
CK-13.46236,CK,46236,LITTLE RIVER/STh,CK-13,50.86549159,-119.6048588,STh,STh+GStr,GStr,Chinook,Ck_SBC,LITTLE RIVER,yes,WSP_ts
CK-13.46246,CK,46246,ADAMS RIVER,CK-13,50.89386286,-119.5505675,STh,STh+GStr,GStr,Chinook,Ck_SBC,ADAMS RIVER,yes,WSP_ts
CK-13.60005,CK,60005,ADAMS RIVER SPAWNING CHANNEL,CK-13,51.02684994,-119.6500286,STh,STh+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-13.7477,CK,7477,TAPPEN CREEK,CK-13,50.77337655,-119.3364157,STh,STh+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-13.7478,CK,7478,CANOE CREEK/STh,CK-13,50.754669,-119.2217339,STh,STh+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-13.7479,CK,7479,HIUIHILL CREEK,CK-13,50.92252401,-119.6338982,STh,STh+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-13.7480,CK,7480,NIKWIKWAIA CREEK,CK-13,50.938893,-119.6551932,STh,STh+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-14.46296,CK,46296,SCOTCH CREEK,CK-14,50.90709332,-119.4921574,STh,STh+GStr,GStr,Chinook,Ck_SBC,SCOTCH CREEK,no,Raw_ts
CK-14.46336,CK,46336,SEYMOUR RIVER/STh,CK-14,51.23862931,-118.9593268,STh,STh+GStr,GStr,Chinook,Ck_SBC,SEYMOUR RIVER,yes,WSP_ts
CK-14.46366,CK,46366,EAGLE RIVER,CK-14,50.84336958,-119.0109085,STh,STh+GStr,GStr,Chinook,Ck_SBC,EAGLE RIVER,yes,WSP_ts
CK-14.46407,CK,46407,SALMON RIVER/STh,CK-14,50.69681861,-119.3112952,STh,STh+GStr,GStr,Chinook,Ck_SBC,SALMON RIVER,yes,WSP_ts
CK-15.46437,CK,46437,SHUSWAP RIVER-LOWER,CK-15,50.72141906,-119.0468253,STh,STh+GStr,GStr,Chinook,Ck_SBC,SHUSWAP RIVER-LOWER,yes,WSP_ts
CK-15.46447,CK,46447,SHUSWAP RIVER-MIDDLE,CK-15,50.43116687,-118.7500343,STh,STh+GStr,GStr,Chinook,Ck_SBC,SHUSWAP RIVER-MIDDLE,yes,WSP_ts
CK-15.46527,CK,46527,WAP CREEK,CK-15,50.7266859,-118.6143622,STh,STh+GStr,GStr,Chinook,Ck_SBC,WAP CREEK,no,Raw_ts
