"Year","SpnForTrend_Total","Pop_ID","Pop_Name","CU_ID","CU_Name","Dataset","SpnForAbd_Total","SpnForAbd_Wild","SpnForTrend_Wild","Recruits_Total","Recruits_Wild","DU_ID"
1986,21500,"51056","VINER SOUND CREEK","CM-08","Southern Coastal Streams","Cm_ISC",21500,NA,NA,NA,NA,NA
1987,30000,"51056","VINER SOUND CREEK","CM-08","Southern Coastal Streams","Cm_ISC",30000,NA,NA,NA,NA,NA
1994,1007,"51056","VINER SOUND CREEK","CM-08","Southern Coastal Streams","Cm_ISC",1007,NA,NA,NA,NA,NA
1993,1600,"51056","VINER SOUND CREEK","CM-08","Southern Coastal Streams","Cm_ISC",1600,NA,NA,NA,NA,NA
1991,4500,"51056","VINER SOUND CREEK","CM-08","Southern Coastal Streams","Cm_ISC",4500,NA,NA,NA,NA,NA
1994,250,"50896","AHNUHATI RIVER","CM-09","Upper Knight","Cm_ISC",250,NA,NA,NA,NA,NA
1993,8500,"50896","AHNUHATI RIVER","CM-09","Upper Knight","Cm_ISC",8500,NA,NA,NA,NA,NA
1992,6500,"50896","AHNUHATI RIVER","CM-09","Upper Knight","Cm_ISC",6500,NA,NA,NA,NA,NA
1985,3000,"50896","AHNUHATI RIVER","CM-09","Upper Knight","Cm_ISC",3000,NA,NA,NA,NA,NA
1984,3000,"50976","KAKWEIKEN RIVER","CM-08","Southern Coastal Streams","Cm_ISC",3000,NA,NA,NA,NA,NA
1990,100,"50986","AHTA RIVER","CM-08","Southern Coastal Streams","Cm_ISC",100,NA,NA,NA,NA,NA
1991,1200,"50986","AHTA RIVER","CM-08","Southern Coastal Streams","Cm_ISC",1200,NA,NA,NA,NA,NA
1992,2600,"50986","AHTA RIVER","CM-08","Southern Coastal Streams","Cm_ISC",2600,NA,NA,NA,NA,NA
1994,300,"50986","AHTA RIVER","CM-08","Southern Coastal Streams","Cm_ISC",300,NA,NA,NA,NA,NA
1989,400,"50986","AHTA RIVER","CM-08","Southern Coastal Streams","Cm_ISC",400,NA,NA,NA,NA,NA
1994,NA,"49580","BOYDELL CREEK","CM-08","Southern Coastal Streams","Cm_ISC",NA,NA,NA,NA,NA,NA
1989,35000,"53066","PUNTLEDGE RIVER","CM-04","Georgia Strait","Cm_ISC",35000,NA,NA,NA,NA,NA
1988,47000,"53066","PUNTLEDGE RIVER","CM-04","Georgia Strait","Cm_ISC",47000,NA,NA,NA,NA,NA
1987,95943,"51366","QUALICUM RIVER","CM-04","Georgia Strait","Cm_ISC",95943,NA,NA,NA,NA,NA
1984,128692,"51366","QUALICUM RIVER","CM-04","Georgia Strait","Cm_ISC",128692,NA,NA,NA,NA,NA
1987,45000,"51386","LITTLE QUALICUM RIVER","CM-04","Georgia Strait","Cm_ISC",45000,NA,NA,NA,NA,NA
1988,111944,"51366","QUALICUM RIVER","CM-04","Georgia Strait","Cm_ISC",111944,NA,NA,NA,NA,NA
1989,80713,"51366","QUALICUM RIVER","CM-04","Georgia Strait","Cm_ISC",80713,NA,NA,NA,NA,NA
1986,193364,"51366","QUALICUM RIVER","CM-04","Georgia Strait","Cm_ISC",193364,NA,NA,NA,NA,NA
1988,42018,"51386","LITTLE QUALICUM RIVER","CM-04","Georgia Strait","Cm_ISC",42018,NA,NA,NA,NA,NA
1988,NA,"50996","AHTA VALLEY CREEK","CM-08","Southern Coastal Streams","Cm_ISC",NA,NA,NA,NA,NA,NA
1987,NA,"50996","AHTA VALLEY CREEK","CM-08","Southern Coastal Streams","Cm_ISC",NA,NA,NA,NA,NA,NA
1986,NA,"50996","AHTA VALLEY CREEK","CM-08","Southern Coastal Streams","Cm_ISC",NA,NA,NA,NA,NA,NA
1994,200,"50976","KAKWEIKEN RIVER","CM-08","Southern Coastal Streams","Cm_ISC",200,NA,NA,NA,NA,NA
1985,200,"50976","KAKWEIKEN RIVER","CM-08","Southern Coastal Streams","Cm_ISC",200,NA,NA,NA,NA,NA
1986,1050,"50976","KAKWEIKEN RIVER","CM-08","Southern Coastal Streams","Cm_ISC",1050,NA,NA,NA,NA,NA
1987,250,"50976","KAKWEIKEN RIVER","CM-08","Southern Coastal Streams","Cm_ISC",250,NA,NA,NA,NA,NA
1988,1500,"49600","ALISON RIVER","CM-08","Southern Coastal Streams","Cm_ISC",1500,NA,NA,NA,NA,NA
1985,175,"49490","BAMFORD CREEK","CM-08","Southern Coastal Streams","Cm_ISC",175,NA,NA,NA,NA,NA
1984,200,"49490","BAMFORD CREEK","CM-08","Southern Coastal Streams","Cm_ISC",200,NA,NA,NA,NA,NA
1990,NA,"49490","BAMFORD CREEK","CM-08","Southern Coastal Streams","Cm_ISC",NA,NA,NA,NA,NA,NA
1992,654,"49520","TAALTZ CREEK","CM-08","Southern Coastal Streams","Cm_ISC",654,NA,NA,NA,NA,NA
1994,4000,"49520","TAALTZ CREEK","CM-08","Southern Coastal Streams","Cm_ISC",4000,NA,NA,NA,NA,NA
1993,2000,"49520","TAALTZ CREEK","CM-08","Southern Coastal Streams","Cm_ISC",2000,NA,NA,NA,NA,NA
1990,6000,"49520","TAALTZ CREEK","CM-08","Southern Coastal Streams","Cm_ISC",6000,NA,NA,NA,NA,NA
1988,2750,"49080","THEODOSIA RIVER","CM-04","Georgia Strait","Cm_ISC",2750,NA,NA,NA,NA,NA
1991,350,"49480","EVA CREEK","CM-08","Southern Coastal Streams","Cm_ISC",350,NA,NA,NA,NA,NA
1990,350,"49480","EVA CREEK","CM-08","Southern Coastal Streams","Cm_ISC",350,NA,NA,NA,NA,NA
1989,450,"49480","EVA CREEK","CM-08","Southern Coastal Streams","Cm_ISC",450,NA,NA,NA,NA,NA
1988,NA,"49480","EVA CREEK","CM-08","Southern Coastal Streams","Cm_ISC",NA,NA,NA,NA,NA,NA
1987,NA,"49480","EVA CREEK","CM-08","Southern Coastal Streams","Cm_ISC",NA,NA,NA,NA,NA,NA
1994,NA,"49480","EVA CREEK","CM-08","Southern Coastal Streams","Cm_ISC",NA,NA,NA,NA,NA,NA
1984,300,"51096","KINGCOME RIVER","CM-08","Southern Coastal Streams","Cm_ISC",300,NA,NA,NA,NA,NA
1987,3000,"51096","KINGCOME RIVER","CM-08","Southern Coastal Streams","Cm_ISC",3000,NA,NA,NA,NA,NA
1986,NA,"51096","KINGCOME RIVER","CM-08","Southern Coastal Streams","Cm_ISC",NA,NA,NA,NA,NA,NA
1991,2000,"50976","KAKWEIKEN RIVER","CM-08","Southern Coastal Streams","Cm_ISC",2000,NA,NA,NA,NA,NA
1992,150,"50976","KAKWEIKEN RIVER","CM-08","Southern Coastal Streams","Cm_ISC",150,NA,NA,NA,NA,NA
1993,5950,"50976","KAKWEIKEN RIVER","CM-08","Southern Coastal Streams","Cm_ISC",5950,NA,NA,NA,NA,NA
1984,250,"51116","WAKEMAN RIVER","CM-08","Southern Coastal Streams","Cm_ISC",250,NA,NA,NA,NA,NA
1985,120,"51116","WAKEMAN RIVER","CM-08","Southern Coastal Streams","Cm_ISC",120,NA,NA,NA,NA,NA
1992,85,"51116","WAKEMAN RIVER","CM-08","Southern Coastal Streams","Cm_ISC",85,NA,NA,NA,NA,NA
1991,1000,"51116","WAKEMAN RIVER","CM-08","Southern Coastal Streams","Cm_ISC",1000,NA,NA,NA,NA,NA
1989,400,"51096","KINGCOME RIVER","CM-08","Southern Coastal Streams","Cm_ISC",400,NA,NA,NA,NA,NA
1985,375,"51096","KINGCOME RIVER","CM-08","Southern Coastal Streams","Cm_ISC",375,NA,NA,NA,NA,NA
1988,10000,"51096","KINGCOME RIVER","CM-08","Southern Coastal Streams","Cm_ISC",10000,NA,NA,NA,NA,NA
1994,766,"51096","KINGCOME RIVER","CM-08","Southern Coastal Streams","Cm_ISC",766,NA,NA,NA,NA,NA
1993,6,"51096","KINGCOME RIVER","CM-08","Southern Coastal Streams","Cm_ISC",6,NA,NA,NA,NA,NA
1992,690,"51096","KINGCOME RIVER","CM-08","Southern Coastal Streams","Cm_ISC",690,NA,NA,NA,NA,NA
1988,NA,"49580","BOYDELL CREEK","CM-08","Southern Coastal Streams","Cm_ISC",NA,NA,NA,NA,NA,NA
1987,NA,"49570","SCHWARTZENBERG LAGOON CREEK","CM-08","Southern Coastal Streams","Cm_ISC",NA,NA,NA,NA,NA,NA
1986,NA,"49570","SCHWARTZENBERG LAGOON CREEK","CM-08","Southern Coastal Streams","Cm_ISC",NA,NA,NA,NA,NA,NA
1984,NA,"49570","SCHWARTZENBERG LAGOON CREEK","CM-08","Southern Coastal Streams","Cm_ISC",NA,NA,NA,NA,NA,NA
1994,NA,"49560","NUGENT CREEK","CM-08","Southern Coastal Streams","Cm_ISC",NA,NA,NA,NA,NA,NA
1988,NA,"49570","SCHWARTZENBERG LAGOON CREEK","CM-08","Southern Coastal Streams","Cm_ISC",NA,NA,NA,NA,NA,NA
1989,NA,"49570","SCHWARTZENBERG LAGOON CREEK","CM-08","Southern Coastal Streams","Cm_ISC",NA,NA,NA,NA,NA,NA
1990,NA,"49570","SCHWARTZENBERG LAGOON CREEK","CM-08","Southern Coastal Streams","Cm_ISC",NA,NA,NA,NA,NA,NA
1985,100,"49570","SCHWARTZENBERG LAGOON CREEK","CM-08","Southern Coastal Streams","Cm_ISC",100,NA,NA,NA,NA,NA
1994,200,"49650","QUASHELLA RIVER","CM-08","Southern Coastal Streams","Cm_ISC",200,NA,NA,NA,NA,NA
1984,500,"50986","AHTA RIVER","CM-08","Southern Coastal Streams","Cm_ISC",500,NA,NA,NA,NA,NA
1993,1850,"50986","AHTA RIVER","CM-08","Southern Coastal Streams","Cm_ISC",1850,NA,NA,NA,NA,NA
1986,150,"50906","KWALATE CREEK","CM-09","Upper Knight","Cm_ISC",150,NA,NA,NA,NA,NA
1994,40,"50906","KWALATE CREEK","CM-09","Upper Knight","Cm_ISC",40,NA,NA,NA,NA,NA
1993,4,"50906","KWALATE CREEK","CM-09","Upper Knight","Cm_ISC",4,NA,NA,NA,NA,NA
1992,110,"50906","KWALATE CREEK","CM-09","Upper Knight","Cm_ISC",110,NA,NA,NA,NA,NA
1989,20,"50906","KWALATE CREEK","CM-09","Upper Knight","Cm_ISC",20,NA,NA,NA,NA,NA
1990,20,"50906","KWALATE CREEK","CM-09","Upper Knight","Cm_ISC",20,NA,NA,NA,NA,NA
1987,13500,"49650","QUASHELLA RIVER","CM-08","Southern Coastal Streams","Cm_ISC",13500,NA,NA,NA,NA,NA
1986,2000,"49650","QUASHELLA RIVER","CM-08","Southern Coastal Streams","Cm_ISC",2000,NA,NA,NA,NA,NA
1985,5000,"49650","QUASHELLA RIVER","CM-08","Southern Coastal Streams","Cm_ISC",5000,NA,NA,NA,NA,NA
1984,50,"49650","QUASHELLA RIVER","CM-08","Southern Coastal Streams","Cm_ISC",50,NA,NA,NA,NA,NA
1993,800,"49650","QUASHELLA RIVER","CM-08","Southern Coastal Streams","Cm_ISC",800,NA,NA,NA,NA,NA
1992,570,"49650","QUASHELLA RIVER","CM-08","Southern Coastal Streams","Cm_ISC",570,NA,NA,NA,NA,NA
1991,127,"49650","QUASHELLA RIVER","CM-08","Southern Coastal Streams","Cm_ISC",127,NA,NA,NA,NA,NA
1988,3500,"49650","QUASHELLA RIVER","CM-08","Southern Coastal Streams","Cm_ISC",3500,NA,NA,NA,NA,NA
1990,4000,"49650","QUASHELLA RIVER","CM-08","Southern Coastal Streams","Cm_ISC",4000,NA,NA,NA,NA,NA
1989,4000,"49650","QUASHELLA RIVER","CM-08","Southern Coastal Streams","Cm_ISC",4000,NA,NA,NA,NA,NA
1994,1000,"49660","PACK LAKE CREEK","CM-08","Southern Coastal Streams","Cm_ISC",1000,NA,NA,NA,NA,NA
1993,900,"49660","PACK LAKE CREEK","CM-08","Southern Coastal Streams","Cm_ISC",900,NA,NA,NA,NA,NA
1986,60000,"53066","PUNTLEDGE RIVER","CM-04","Georgia Strait","Cm_ISC",60000,NA,NA,NA,NA,NA
1985,85000,"53066","PUNTLEDGE RIVER","CM-04","Georgia Strait","Cm_ISC",85000,NA,NA,NA,NA,NA
1993,10,"50996","AHTA VALLEY CREEK","CM-08","Southern Coastal Streams","Cm_ISC",10,NA,NA,NA,NA,NA
1987,50761,"53066","PUNTLEDGE RIVER","CM-04","Georgia Strait","Cm_ISC",50761,NA,NA,NA,NA,NA
1990,18000,"51056","VINER SOUND CREEK","CM-08","Southern Coastal Streams","Cm_ISC",18000,NA,NA,NA,NA,NA
1990,48500,"50536","ORFORD RIVER","CM-07","Bute Inlet","Cm_ISC",48500,NA,NA,NA,NA,NA
1986,14,"49630","CHIEF NOWLEY CREEK","CM-08","Southern Coastal Streams","Cm_ISC",14,NA,NA,NA,NA,NA
1987,NA,"49630","CHIEF NOWLEY CREEK","CM-08","Southern Coastal Streams","Cm_ISC",NA,NA,NA,NA,NA,NA
1985,300,"49630","CHIEF NOWLEY CREEK","CM-08","Southern Coastal Streams","Cm_ISC",300,NA,NA,NA,NA,NA
1988,NA,"49630","CHIEF NOWLEY CREEK","CM-08","Southern Coastal Streams","Cm_ISC",NA,NA,NA,NA,NA,NA
1990,NA,"49630","CHIEF NOWLEY CREEK","CM-08","Southern Coastal Streams","Cm_ISC",NA,NA,NA,NA,NA,NA
1984,200,"49630","CHIEF NOWLEY CREEK","CM-08","Southern Coastal Streams","Cm_ISC",200,NA,NA,NA,NA,NA
1991,50,"49630","CHIEF NOWLEY CREEK","CM-08","Southern Coastal Streams","Cm_ISC",50,NA,NA,NA,NA,NA
1991,NA,"49470","WODEFORD CREEK","CM-08","Southern Coastal Streams","Cm_ISC",NA,NA,NA,NA,NA,NA
1990,NA,"49470","WODEFORD CREEK","CM-08","Southern Coastal Streams","Cm_ISC",NA,NA,NA,NA,NA,NA
1986,50,"49480","EVA CREEK","CM-08","Southern Coastal Streams","Cm_ISC",50,NA,NA,NA,NA,NA
1990,NA,"49560","NUGENT CREEK","CM-08","Southern Coastal Streams","Cm_ISC",NA,NA,NA,NA,NA,NA
1990,100,"49660","PACK LAKE CREEK","CM-08","Southern Coastal Streams","Cm_ISC",100,NA,NA,NA,NA,NA
1989,150,"49660","PACK LAKE CREEK","CM-08","Southern Coastal Streams","Cm_ISC",150,NA,NA,NA,NA,NA
1986,350,"49660","PACK LAKE CREEK","CM-08","Southern Coastal Streams","Cm_ISC",350,NA,NA,NA,NA,NA
1988,250,"49660","PACK LAKE CREEK","CM-08","Southern Coastal Streams","Cm_ISC",250,NA,NA,NA,NA,NA
1991,NA,"49660","PACK LAKE CREEK","CM-08","Southern Coastal Streams","Cm_ISC",NA,NA,NA,NA,NA,NA
1993,60000,"50536","ORFORD RIVER","CM-07","Bute Inlet","Cm_ISC",60000,NA,NA,NA,NA,NA
1989,8000,"50536","ORFORD RIVER","CM-07","Bute Inlet","Cm_ISC",8000,NA,NA,NA,NA,NA
1988,9500,"50536","ORFORD RIVER","CM-07","Bute Inlet","Cm_ISC",9500,NA,NA,NA,NA,NA
1987,18000,"50536","ORFORD RIVER","CM-07","Bute Inlet","Cm_ISC",18000,NA,NA,NA,NA,NA
1986,110000,"50536","ORFORD RIVER","CM-07","Bute Inlet","Cm_ISC",110000,NA,NA,NA,NA,NA
1985,10000,"50536","ORFORD RIVER","CM-07","Bute Inlet","Cm_ISC",10000,NA,NA,NA,NA,NA
1984,15000,"50536","ORFORD RIVER","CM-07","Bute Inlet","Cm_ISC",15000,NA,NA,NA,NA,NA
1985,250,"49660","PACK LAKE CREEK","CM-08","Southern Coastal Streams","Cm_ISC",250,NA,NA,NA,NA,NA
1984,NA,"49660","PACK LAKE CREEK","CM-08","Southern Coastal Streams","Cm_ISC",NA,NA,NA,NA,NA,NA
1986,4500,"49620","JAP CREEK","CM-08","Southern Coastal Streams","Cm_ISC",4500,NA,NA,NA,NA,NA
1985,3000,"49620","JAP CREEK","CM-08","Southern Coastal Streams","Cm_ISC",3000,NA,NA,NA,NA,NA
1984,1275,"49620","JAP CREEK","CM-08","Southern Coastal Streams","Cm_ISC",1275,NA,NA,NA,NA,NA
1987,1300,"49620","JAP CREEK","CM-08","Southern Coastal Streams","Cm_ISC",1300,NA,NA,NA,NA,NA
1986,5,"49490","BAMFORD CREEK","CM-08","Southern Coastal Streams","Cm_ISC",5,NA,NA,NA,NA,NA
1987,NA,"49490","BAMFORD CREEK","CM-08","Southern Coastal Streams","Cm_ISC",NA,NA,NA,NA,NA,NA
1988,NA,"49490","BAMFORD CREEK","CM-08","Southern Coastal Streams","Cm_ISC",NA,NA,NA,NA,NA,NA
1986,75,"49550","RAINBOW CREEK","CM-08","Southern Coastal Streams","Cm_ISC",75,NA,NA,NA,NA,NA
1988,2500,"49550","RAINBOW CREEK","CM-08","Southern Coastal Streams","Cm_ISC",2500,NA,NA,NA,NA,NA
1987,350,"49550","RAINBOW CREEK","CM-08","Southern Coastal Streams","Cm_ISC",350,NA,NA,NA,NA,NA
1984,365,"49550","RAINBOW CREEK","CM-08","Southern Coastal Streams","Cm_ISC",365,NA,NA,NA,NA,NA
1985,250,"49550","RAINBOW CREEK","CM-08","Southern Coastal Streams","Cm_ISC",250,NA,NA,NA,NA,NA
1994,100,"49550","RAINBOW CREEK","CM-08","Southern Coastal Streams","Cm_ISC",100,NA,NA,NA,NA,NA
1993,20,"49550","RAINBOW CREEK","CM-08","Southern Coastal Streams","Cm_ISC",20,NA,NA,NA,NA,NA
1989,200,"49550","RAINBOW CREEK","CM-08","Southern Coastal Streams","Cm_ISC",200,NA,NA,NA,NA,NA
1991,900,"49550","RAINBOW CREEK","CM-08","Southern Coastal Streams","Cm_ISC",900,NA,NA,NA,NA,NA
1990,200,"49550","RAINBOW CREEK","CM-08","Southern Coastal Streams","Cm_ISC",200,NA,NA,NA,NA,NA
1992,100,"49550","RAINBOW CREEK","CM-08","Southern Coastal Streams","Cm_ISC",100,NA,NA,NA,NA,NA
1984,40000,"53066","PUNTLEDGE RIVER","CM-04","Georgia Strait","Cm_ISC",40000,NA,NA,NA,NA,NA
1989,16000,"51386","LITTLE QUALICUM RIVER","CM-04","Georgia Strait","Cm_ISC",16000,NA,NA,NA,NA,NA
1985,207062,"51366","QUALICUM RIVER","CM-04","Georgia Strait","Cm_ISC",207062,NA,NA,NA,NA,NA
1984,3000,"49080","THEODOSIA RIVER","CM-04","Georgia Strait","Cm_ISC",3000,NA,NA,NA,NA,NA
1985,3500,"49080","THEODOSIA RIVER","CM-04","Georgia Strait","Cm_ISC",3500,NA,NA,NA,NA,NA
1986,2300,"49080","THEODOSIA RIVER","CM-04","Georgia Strait","Cm_ISC",2300,NA,NA,NA,NA,NA
1987,300,"49080","THEODOSIA RIVER","CM-04","Georgia Strait","Cm_ISC",300,NA,NA,NA,NA,NA
1989,200,"49080","THEODOSIA RIVER","CM-04","Georgia Strait","Cm_ISC",200,NA,NA,NA,NA,NA
1994,500,"49610","WAUMP CREEK","CM-08","Southern Coastal Streams","Cm_ISC",500,NA,NA,NA,NA,NA
1993,6000,"49610","WAUMP CREEK","CM-08","Southern Coastal Streams","Cm_ISC",6000,NA,NA,NA,NA,NA
1992,550,"49610","WAUMP CREEK","CM-08","Southern Coastal Streams","Cm_ISC",550,NA,NA,NA,NA,NA
1991,409,"49610","WAUMP CREEK","CM-08","Southern Coastal Streams","Cm_ISC",409,NA,NA,NA,NA,NA
1989,3000,"49610","WAUMP CREEK","CM-08","Southern Coastal Streams","Cm_ISC",3000,NA,NA,NA,NA,NA
1988,NA,"49540","WAWWATL CREEK","CM-08","Southern Coastal Streams","Cm_ISC",NA,NA,NA,NA,NA,NA
1989,25,"49560","NUGENT CREEK","CM-08","Southern Coastal Streams","Cm_ISC",25,NA,NA,NA,NA,NA
1988,10,"49560","NUGENT CREEK","CM-08","Southern Coastal Streams","Cm_ISC",10,NA,NA,NA,NA,NA
1994,1500,"50536","ORFORD RIVER","CM-07","Bute Inlet","Cm_ISC",1500,NA,NA,NA,NA,NA
1989,NA,"45883","WHALETOWN CREEK","CM-04","Georgia Strait","Cm_ISC",NA,NA,NA,NA,NA,NA
1994,NA,"49470","WODEFORD CREEK","CM-08","Southern Coastal Streams","Cm_ISC",NA,NA,NA,NA,NA,NA
1987,40,"50906","KWALATE CREEK","CM-09","Upper Knight","Cm_ISC",40,NA,NA,NA,NA,NA
1985,200,"50906","KWALATE CREEK","CM-09","Upper Knight","Cm_ISC",200,NA,NA,NA,NA,NA
1988,50,"50906","KWALATE CREEK","CM-09","Upper Knight","Cm_ISC",50,NA,NA,NA,NA,NA
1984,500,"50896","AHNUHATI RIVER","CM-09","Upper Knight","Cm_ISC",500,NA,NA,NA,NA,NA
1987,6500,"50896","AHNUHATI RIVER","CM-09","Upper Knight","Cm_ISC",6500,NA,NA,NA,NA,NA
1988,20000,"50896","AHNUHATI RIVER","CM-09","Upper Knight","Cm_ISC",20000,NA,NA,NA,NA,NA
1989,3500,"50896","AHNUHATI RIVER","CM-09","Upper Knight","Cm_ISC",3500,NA,NA,NA,NA,NA
1986,50000,"50896","AHNUHATI RIVER","CM-09","Upper Knight","Cm_ISC",50000,NA,NA,NA,NA,NA
1986,NA,"50936","NIGGER CREEK","CM-08","Southern Coastal Streams","Cm_ISC",NA,NA,NA,NA,NA,NA
1987,NA,"50936","NIGGER CREEK","CM-08","Southern Coastal Streams","Cm_ISC",NA,NA,NA,NA,NA,NA
1984,20000,"49520","TAALTZ CREEK","CM-08","Southern Coastal Streams","Cm_ISC",20000,NA,NA,NA,NA,NA
1993,6,"40141","LANNON CREEK","CM-04","Georgia Strait","Cm_ISC",6,NA,NA,NA,NA,NA
1984,2,"40141","LANNON CREEK","CM-04","Georgia Strait","Cm_ISC",2,NA,NA,NA,NA,NA
1985,300,"50986","AHTA RIVER","CM-08","Southern Coastal Streams","Cm_ISC",300,NA,NA,NA,NA,NA
1986,1200,"50986","AHTA RIVER","CM-08","Southern Coastal Streams","Cm_ISC",1200,NA,NA,NA,NA,NA
1987,625,"50986","AHTA RIVER","CM-08","Southern Coastal Streams","Cm_ISC",625,NA,NA,NA,NA,NA
1988,3000,"50986","AHTA RIVER","CM-08","Southern Coastal Streams","Cm_ISC",3000,NA,NA,NA,NA,NA
1985,40,"49480","EVA CREEK","CM-08","Southern Coastal Streams","Cm_ISC",40,NA,NA,NA,NA,NA
1984,NA,"49480","EVA CREEK","CM-08","Southern Coastal Streams","Cm_ISC",NA,NA,NA,NA,NA,NA
1986,10000,"49520","TAALTZ CREEK","CM-08","Southern Coastal Streams","Cm_ISC",10000,NA,NA,NA,NA,NA
1985,10000,"49520","TAALTZ CREEK","CM-08","Southern Coastal Streams","Cm_ISC",10000,NA,NA,NA,NA,NA
1994,1560,"49510","WARNER BAY CREEK","CM-08","Southern Coastal Streams","Cm_ISC",1560,NA,NA,NA,NA,NA
1993,1800,"49510","WARNER BAY CREEK","CM-08","Southern Coastal Streams","Cm_ISC",1800,NA,NA,NA,NA,NA
1987,NA,"40191","TUGWELL CREEK","CM-04","Georgia Strait","Cm_ISC",NA,NA,NA,NA,NA,NA
1985,50,"40191","TUGWELL CREEK","CM-04","Georgia Strait","Cm_ISC",50,NA,NA,NA,NA,NA
1990,8,"40191","TUGWELL CREEK","CM-04","Georgia Strait","Cm_ISC",8,NA,NA,NA,NA,NA
1991,NA,"40191","TUGWELL CREEK","CM-04","Georgia Strait","Cm_ISC",NA,NA,NA,NA,NA,NA
1988,130,"40191","TUGWELL CREEK","CM-04","Georgia Strait","Cm_ISC",130,NA,NA,NA,NA,NA
1989,6,"40191","TUGWELL CREEK","CM-04","Georgia Strait","Cm_ISC",6,NA,NA,NA,NA,NA
1990,51,"40091","SANDHILL CREEK","CM-04","Georgia Strait","Cm_ISC",51,NA,NA,NA,NA,NA
1991,NA,"40091","SANDHILL CREEK","CM-04","Georgia Strait","Cm_ISC",NA,NA,NA,NA,NA,NA
1994,76,"40091","SANDHILL CREEK","CM-04","Georgia Strait","Cm_ISC",76,NA,NA,NA,NA,NA
1993,24,"45657","LUNSON CREEK","CM-04","Georgia Strait","Cm_ISC",24,NA,NA,NA,NA,NA
1992,263,"45657","LUNSON CREEK","CM-04","Georgia Strait","Cm_ISC",263,NA,NA,NA,NA,NA
1984,1000,"40131","AYUM CREEK","CM-04","Georgia Strait","Cm_ISC",1000,NA,NA,NA,NA,NA
1985,2000,"40201","MUIR CREEK","CM-04","Georgia Strait","Cm_ISC",2000,NA,NA,NA,NA,NA
1984,150,"40201","MUIR CREEK","CM-04","Georgia Strait","Cm_ISC",150,NA,NA,NA,NA,NA
1985,1500,"40131","AYUM CREEK","CM-04","Georgia Strait","Cm_ISC",1500,NA,NA,NA,NA,NA
1987,300,"40131","AYUM CREEK","CM-04","Georgia Strait","Cm_ISC",300,NA,NA,NA,NA,NA
1984,600,"40171","ROCKY CREEK","CM-04","Georgia Strait","Cm_ISC",600,NA,NA,NA,NA,NA
1988,4000,"49620","JAP CREEK","CM-08","Southern Coastal Streams","Cm_ISC",4000,NA,NA,NA,NA,NA
1990,60,"49620","JAP CREEK","CM-08","Southern Coastal Streams","Cm_ISC",60,NA,NA,NA,NA,NA
1989,25,"49620","JAP CREEK","CM-08","Southern Coastal Streams","Cm_ISC",25,NA,NA,NA,NA,NA
1988,3000,"49610","WAUMP CREEK","CM-08","Southern Coastal Streams","Cm_ISC",3000,NA,NA,NA,NA,NA
1987,2500,"49610","WAUMP CREEK","CM-08","Southern Coastal Streams","Cm_ISC",2500,NA,NA,NA,NA,NA
