CU_ID,Species,Stock,DataType,Year,SpnForAbd_Wild,SpnForTrend_Wild,RelLBM,AbsLBM,LongTrend,PercChange,ProbDeclBelowLBM,Percentile,RelUBM,AbsUBM,NumStdMetrics,GenAvgUsed.x,Group,RapidStatus,BinLabel,BinPath,RapidScore,RelLBMCat,AbsLBMCat,LongTrendCat,PercChangeCat,ProbDeclBelowLBMCat,PercentileCat,RelUBMCat,AbsUBMCat,RelAbdCat,AbsAbdCat,GenAvgUsed.y,IntStatusRaw,IntStatus,IntStatusRaw_Short,IntStatus_Short,ConfidenceRating5,ConfidenceRating3,ConfidenceRating2,IntStatus5,IntStatus3,IntStatus2,ProxySource
CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,Rel_Idx,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,CK-Fraser_Lower,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,Rel_Idx,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,CK-Fraser_Lower,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,Rel_Idx,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,CK-Fraser_Lower,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,Rel_Idx,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,CK-Fraser_Lower,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,Rel_Idx,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,CK-Fraser_Lower,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,Rel_Idx,2002,276,276,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,CK-Fraser_Lower,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,Rel_Idx,2003,180,180,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,CK-Fraser_Lower,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,Rel_Idx,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,CK-Fraser_Lower,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,Rel_Idx,2005,188,188,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,CK-Fraser_Lower,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,Rel_Idx,2006,211,211,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,CK-Fraser_Lower,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,Rel_Idx,2007,103,103,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,CK-Fraser_Lower,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,Rel_Idx,2008,198,198,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,CK-Fraser_Lower,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,Rel_Idx,2009,105,105,NA,NA,NA,NA,NA,NA,NA,NA,0,153.4003688,CK-Fraser_Lower,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.4003688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,Rel_Idx,2010,85,85,NA,NA,NA,NA,NA,NA,NA,NA,0,130.8816071,CK-Fraser_Lower,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.8816071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,Rel_Idx,2011,178,178,NA,NA,NA,NA,NA,NA,NA,NA,0,126.5045448,CK-Fraser_Lower,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126.5045448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,Rel_Idx,2012,103,103,NA,NA,NA,NA,NA,NA,NA,NA,0,126.5045448,CK-Fraser_Lower,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126.5045448,DD,DD,DD,DD,NA,NA,NA,DD,DD,DD,NA
CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,Rel_Idx,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,CK-Fraser_Lower,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,Rel_Idx,2014,75,75,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,CK-Fraser_Lower,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,Rel_Idx,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,CK-Fraser_Lower,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,Rel_Idx,2016,49,49,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,CK-Fraser_Lower,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,Rel_Idx,2017,74,74,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,CK-Fraser_Lower,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,Rel_Idx,2018,175,175,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,CK-Fraser_Lower,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,Rel_Idx,2019,18,18,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,CK-Fraser_Lower,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,Rel_Idx,2020,46,46,NA,NA,52,NA,NA,NA,NA,NA,1,55.47524604,CK-Fraser_Lower,Red,Node17,"Data Type is RelAbd OR AbsLBM >= 1.5, then Data Type is RelAbd OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend < 79",5,NA,NA,Amber,NA,NA,NA,NA,NA,NA,NA,55.47524604,NA,NA,NA,NA,Moderate,Moderate,High,NA,NA,NA,NA
CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,Rel_Idx,2021,86,86,NA,NA,59,NA,NA,NA,NA,NA,1,62.081144,CK-Fraser_Lower,Red,Node17,"Data Type is RelAbd OR AbsLBM >= 1.5, then Data Type is RelAbd OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend < 79",5,NA,NA,Amber,NA,NA,NA,NA,NA,NA,NA,62.081144,NA,NA,NA,NA,Moderate,Moderate,High,NA,NA,NA,NA
CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,Rel_Idx,2022,11,11,NA,NA,46,NA,NA,NA,NA,NA,1,42.40254311,CK-Fraser_Lower,Red,Node17,"Data Type is RelAbd OR AbsLBM >= 1.5, then Data Type is RelAbd OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend < 79",5,NA,NA,Red,NA,NA,NA,NA,NA,NA,NA,42.40254311,NA,NA,NA,NA,Moderate,Moderate,High,NA,NA,NA,NA
CK-03,Chinook,Lower Fraser River_FA_0.3,Abs_Abd,1995,28835,28835,1.917138516,82.27975083,NA,-46.7914,74.5667,NA,1.152183818,8.227975083,5,82279.75083,CK-Fraser_Lower,Green,Node36,"Data Type is RelAbd OR AbsLBM >= 1.5, then Data Type is RelAbd OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM >= 1.1",1,Green,Green,NA,Red,NA,NA,Green,Green,Green,Green,82279.75083,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA
CK-03,Chinook,Lower Fraser River_FA_0.3,Abs_Abd,1996,38643,38643,1.409163891,60.47849589,NA,-58.9249,86.0667,NA,0.846895422,6.047849589,5,60478.49589,CK-Fraser_Lower,Amber,Node37,"Data Type is RelAbd OR AbsLBM >= 1.5, then Data Type is RelAbd OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,Amber,Green,NA,Red,NA,NA,Amber,Green,Amber,Green,60478.49589,NA,NA,NA,NA,High,High,Moderate,NA,NA,NA,NA
CK-03,Chinook,Lower Fraser River_FA_0.3,Abs_Abd,1997,71955,71955,1.23877292,53.16565616,NA,-47.3078,73,NA,0.744491908,5.316565616,5,53165.65616,CK-Fraser_Lower,Amber,Node37,"Data Type is RelAbd OR AbsLBM >= 1.5, then Data Type is RelAbd OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,Amber,Green,NA,Red,NA,NA,Amber,Green,Amber,Green,53165.65616,NA,NA,NA,NA,High,High,Moderate,NA,NA,NA,NA
CK-03,Chinook,Lower Fraser River_FA_0.3,Abs_Abd,1998,201261,201261,1.476771741,63.38008957,68,10.3378,27.4667,NA,0.88752716,6.338008957,6,63380.08957,CK-Fraser_Lower,Amber,Node37,"Data Type is RelAbd OR AbsLBM >= 1.5, then Data Type is RelAbd OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,Amber,Green,Amber,Green,NA,NA,Amber,Green,Amber,Green,63380.08957,NA,NA,NA,NA,High,High,Moderate,NA,NA,NA,NA
CK-03,Chinook,Lower Fraser River_FA_0.3,Abs_Abd,1999,105536,105536,2.042601007,87.66435001,94,20.3417,22.4667,NA,1.2275857,8.766435001,6,87664.35001,CK-Fraser_Lower,Green,Node36,"Data Type is RelAbd OR AbsLBM >= 1.5, then Data Type is RelAbd OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM >= 1.1",1,Green,Green,Green,Green,NA,NA,Green,Green,Green,Green,87664.35001,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA
CK-03,Chinook,Lower Fraser River_FA_0.3,Abs_Abd,2000,79141,79141,2.443521791,104.8710682,113,-21.5536,46.7333,NA,1.468535655,10.48710682,6,104871.0682,CK-Fraser_Lower,Green,Node36,"Data Type is RelAbd OR AbsLBM >= 1.5, then Data Type is RelAbd OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM >= 1.1",1,Green,Green,Green,Amber,NA,NA,Green,Green,Green,Green,104871.0682,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA
CK-03,Chinook,Lower Fraser River_FA_0.3,Abs_Abd,2001,109836,109836,2.716046175,116.5672697,125,-20.9997,45.9667,NA,1.632320475,11.65672697,6,116567.2697,CK-Fraser_Lower,Green,Node36,"Data Type is RelAbd OR AbsLBM >= 1.5, then Data Type is RelAbd OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM >= 1.1",1,Green,Green,Green,Amber,NA,NA,Green,Green,Green,Green,116567.2697,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA
CK-03,Chinook,Lower Fraser River_FA_0.3,Abs_Abd,2002,84410,84410,2.185725996,93.80698828,101,3.0522,26.3333,NA,1.313602592,9.380698828,6,93806.98828,CK-Fraser_Lower,Green,Node36,"Data Type is RelAbd OR AbsLBM >= 1.5, then Data Type is RelAbd OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM >= 1.1",1,Green,Green,Green,Green,NA,NA,Green,Green,Green,Green,93806.98828,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA
